week,b,LB,UB,se,sig-lev,group
-12,-0.4410795,-1.7040492,0.82189035,0.628,***,before
-11,0.19426107,-1.5494863,1.9380085,0.867,,before
-10,-0.50972497,-2.2094369,1.1899872,0.845,***,before
-9,-0.81173742,-2.4566669,0.83319211,0.818,**,before
-8,-0.39836407,-2.095325,1.2985971,0.844,***,before
-7,0.55197406,-0.99468219,2.0986302,0.769,,before
-6,0.71492249,-0.80824888,2.2380939,0.758,,before
-5,-0.94763386,-2.4643116,0.5690437,0.754,***,before
-4,0.2150625,-1.2939247,1.7240497,0.751,,before
-3,0.39579266,-1.0928425,1.8844279,0.74,,before
-2,-0.015261292,-1.4274532,1.3969306,0.702,*,before
-1,1.0517877,-0.31772006,2.4212956,0.681,,before
0,0,0,0,0,,
1,-0.55041564,-1.9529742,0.85214281,0.698,***,after
2,-1.4553493,-2.8200397,-0.090658784,0.679,***,after
3,-1.4257632,-2.849246,-0.002280116,0.708,***,after
4,-4.2504816,-5.7281828,-2.7727804,0.735,***,after
5,-2.3223076,-3.842545,-0.80206954,0.756,***,after
6,0.20048463,-1.344381,1.7453502,0.768,,after
7,0.28571796,-1.2775189,1.8489547,0.777,,after
8,-0.73180616,-2.2846212,0.82100916,0.772,***,after
9,-1.9674779,-3.6005893,-0.33436632,0.812,***,after
10,-0.82073677,-2.4340301,0.79255646,0.802,***,after
11,-0.57982087,-2.1967773,1.0371358,0.804,**,after
12,0.4030875,-0.88792217,1.6940972,0.642,,after
